originconversationid,origindialogueid,destinationconversationid,destinationdialogueid,isConnector,priority
137,79,137,81,0,2
137,80,137,63,0,2
137,81,137,51,0,2
137,82,137,83,0,2
137,83,137,84,0,2
137,83,137,85,0,2
137,84,137,86,0,2
137,85,137,40,0,2
137,86,137,40,0,2
137,87,137,88,0,2
137,87,137,89,0,2
137,88,137,90,0,2
137,89,137,91,0,2
137,90,137,66,0,2
137,91,137,66,0,2
137,92,137,14,0,2
137,93,137,18,0,2
137,94,137,95,0,2
137,94,137,96,0,2
137,95,137,98,0,2
137,96,137,18,0,2
137,97,137,18,0,2
137,98,137,99,0,2
137,98,137,100,0,2
137,99,137,93,0,2
137,100,137,97,0,2
137,101,137,102,0,2
137,101,137,103,0,2
137,102,137,104,0,2
137,103,137,94,0,2
137,104,137,18,0,2
138,0,138,1,0,2
138,1,138,10,0,2
138,2,138,3,0,2
138,2,138,4,0,2
138,3,138,22,0,2
138,5,138,6,0,2
138,5,138,7,0,2
138,6,138,9,0,2
138,7,138,20,0,2
138,9,138,15,0,2
138,10,138,11,0,2
138,10,138,12,0,2
138,11,138,13,0,2
138,12,138,25,0,2
138,13,138,14,0,2
138,15,138,16,0,2
138,15,138,17,0,2
138,16,138,18,0,2
138,17,138,37,0,2
138,18,138,19,0,2
138,19,138,37,0,2
138,20,138,21,0,2
138,21,138,8,0,2
138,22,138,23,0,2
138,22,138,24,0,2
138,23,138,5,0,2
138,24,138,34,0,2
138,25,138,26,0,2
138,25,138,27,0,2
138,26,138,28,0,2
138,27,138,2,0,2
138,28,138,29,0,2
138,28,138,32,0,2
138,28,138,30,0,2
138,29,138,31,0,2
138,31,138,37,0,2
138,32,138,33,0,2
138,34,138,35,0,2
138,34,138,36,0,2
138,35,138,33,0,2
138,36,138,8,0,2
138,37,138,33,0,2
139,0,139,1,0,2
139,1,139,2,0,2
140,0,140,1,0,2
140,1,140,2,0,2
140,2,140,3,0,2
140,2,140,4,0,2
140,3,140,6,0,2
140,4,140,5,0,2
140,5,140,6,0,2
140,6,140,7,0,2
140,6,140,8,0,2
140,7,140,9,0,2
140,8,140,10,0,2
140,9,140,8,0,2
140,10,140,11,0,2
140,11,140,12,0,2
140,11,140,13,0,2
140,11,140,14,0,2
140,12,140,16,0,2
140,13,140,31,0,2
140,14,140,15,0,2
140,15,140,17,0,2
140,16,140,17,0,2
140,17,140,18,0,2
140,18,140,19,0,2
140,18,140,21,0,2
140,18,140,22,0,2
140,18,140,72,0,2
140,18,140,26,0,2
140,18,140,32,0,2
140,18,140,20,0,2
140,19,140,23,0,2
140,20,140,29,0,2
140,21,140,24,0,2
140,22,140,25,0,2
140,23,140,28,0,2
140,24,140,28,0,2
140,25,140,28,0,2
140,26,140,27,0,2
140,27,140,28,0,2
140,28,140,18,0,2
140,29,140,30,0,2
140,30,140,34,0,2
140,30,140,35,0,2
140,31,140,17,0,2
140,32,140,33,0,2
140,33,140,28,0,2
140,34,140,36,0,2
140,35,140,37,0,2
140,36,140,38,0,2
140,37,140,38,0,2
140,38,140,39,0,2
140,38,140,40,0,2
140,38,140,41,0,2
140,38,140,48,0,2
140,38,140,42,0,2
140,39,140,45,0,2
140,40,140,43,0,2
140,41,140,44,0,2
140,42,140,46,0,2
140,43,140,51,0,2
140,44,140,51,0,2
140,45,140,51,0,2
140,46,140,50,0,2
140,47,140,50,0,2
140,48,140,47,0,2
140,49,140,57,0,2
140,49,140,61,0,2
140,49,140,59,0,2
140,50,140,52,0,2
140,50,140,53,0,2
140,51,140,38,0,2
140,52,140,54,0,2
140,53,140,56,0,2
140,54,140,55,0,2
140,55,140,57,0,2
140,55,140,58,0,2
140,55,140,59,0,2
140,56,140,55,0,2
140,57,140,60,0,2
140,58,140,49,0,2
140,59,140,63,0,2
140,61,140,62,0,2
140,63,140,67,0,2
140,64,140,66,0,2
140,67,140,64,0,2
140,67,140,68,0,2
140,67,140,65,0,2
140,68,140,69,0,2
140,69,140,64,0,2
140,69,140,70,0,2
140,71,140,28,0,2
140,72,140,71,0,2
141,0,141,1,0,2
141,1,141,2,0,2
141,2,141,5,0,2
141,2,141,3,0,2
141,3,141,4,0,2
141,4,141,8,0,2
141,4,141,9,0,2
141,4,141,55,0,2
141,5,141,6,0,2
141,6,141,3,0,2
141,7,141,10,0,2
141,7,141,11,0,2
141,7,141,12,0,2
141,8,141,7,0,2
141,9,141,15,0,2
141,10,141,20,0,2
141,11,141,14,0,2
141,12,141,13,0,2
141,13,141,9,0,2
141,13,141,55,0,2
141,14,141,9,0,2
141,14,141,55,0,2
141,15,141,16,0,2
141,15,141,17,0,2
141,15,141,53,0,2
141,16,141,21,0,2
141,17,141,18,0,2
141,18,141,19,0,2
141,19,141,22,0,2
141,20,141,9,0,2
141,20,141,55,0,2
141,21,141,22,0,2
141,22,141,23,0,2
141,22,141,25,0,2
141,22,141,24,0,2
141,23,141,26,0,2
141,24,141,35,0,2
141,25,141,44,0,2
141,26,141,27,0,2
141,26,141,28,0,2
141,27,141,30,0,2
141,28,141,33,0,2
141,29,141,31,0,2
141,30,141,29,0,2
141,31,141,32,0,2
141,32,141,34,0,2
141,33,141,29,0,2
141,34,141,22,0,2
141,35,141,36,0,2
141,36,141,37,0,2
141,37,141,38,0,2
141,38,141,39,0,2
141,39,141,40,0,2
141,40,141,41,0,2
141,41,141,42,0,2
141,41,141,43,0,2
141,42,141,45,0,2
141,42,141,46,0,2
141,43,141,48,0,2
141,44,141,50,0,2
141,44,141,51,0,2
141,45,141,47,0,2
141,47,141,56,0,2
141,47,141,46,0,2
141,48,141,49,0,2
141,50,141,52,0,2
141,52,141,51,0,2
141,53,141,54,0,2
141,54,141,19,0,2
141,56,141,25,0,2
142,0,142,1,0,2
142,1,142,2,0,2
142,2,142,4,0,2
142,2,142,3,0,2
142,4,142,5,0,2
142,5,142,6,0,2
142,6,142,7,0,2
142,6,142,8,0,2
142,6,142,9,0,2
142,6,142,10,0,2
142,6,142,11,0,2
142,7,142,15,0,2
142,8,142,16,0,2
142,9,142,17,0,2
142,10,142,23,0,2
142,11,142,12,0,2
142,12,142,14,0,2
142,13,142,6,0,2
142,14,142,13,0,2
142,15,142,18,0,2
142,16,142,18,0,2
142,17,142,18,0,2
142,18,142,19,0,2
142,18,142,20,0,2
142,18,142,21,0,2
142,19,142,22,0,2
142,20,142,25,0,2
142,21,142,26,0,2
142,22,142,24,0,2
142,23,142,13,0,2
142,24,142,18,0,2
143,0,143,1,0,2
143,1,143,2,0,2
143,2,143,3,0,2
143,3,143,19,0,2
143,3,143,4,0,2
143,3,143,5,0,2
143,4,143,7,0,2
143,5,143,12,0,2
143,7,143,8,0,2
143,7,143,9,0,2
143,8,143,11,0,2
143,9,143,10,0,2
143,10,143,15,0,2
143,11,143,9,0,2
143,11,143,13,0,2
143,12,143,4,0,2
143,12,143,6,0,2
143,13,143,14,0,2
143,14,143,15,0,2
143,15,143,16,0,2
143,15,143,17,0,2
143,15,143,25,0,2
143,16,143,24,0,2
143,17,143,18,0,2
143,18,143,21,0,2
143,19,143,20,0,2
143,20,143,4,0,2
143,20,143,5,0,2
143,21,143,23,0,2
143,21,143,22,0,2
143,23,143,24,0,2
144,0,144,1,0,2
144,1,144,2,0,2
144,2,144,3,0,2
144,2,144,4,0,2
144,2,144,56,0,2
144,2,144,5,0,2
144,3,144,6,0,2
144,4,144,7,0,2
144,5,144,15,0,2
144,6,144,8,0,2
144,7,144,8,0,2
144,8,144,16,0,2
144,9,144,12,0,2
144,10,144,13,0,2
144,11,144,14,0,2
144,12,144,20,0,2
144,12,144,24,0,2
144,12,144,22,0,2
144,16,144,9,0,2
144,16,144,10,0,2
144,16,144,11,0,2
144,17,144,46,0,2
144,17,144,51,0,2
144,18,144,28,0,2
144,19,144,55,0,2
144,20,144,25,0,2
144,21,144,46,0,2
144,21,144,51,0,2
144,22,144,27,0,2
144,23,144,21,0,2
144,24,144,29,0,2
144,25,144,32,0,2
144,26,144,17,0,2
144,27,144,28,0,2
144,28,144,44,0,2
144,29,144,28,0,2
144,30,144,23,0,2
144,31,144,52,0,2
144,31,144,46,0,2
144,31,144,51,0,2
144,32,144,33,0,2
144,33,144,34,0,2
144,33,144,35,0,2
144,34,144,18,0,2
144,35,144,28,0,2
144,36,144,26,0,2
144,36,144,30,0,2
144,37,144,42,0,2
144,38,144,45,0,2
144,38,144,53,0,2
144,38,144,48,0,2
144,39,144,41,0,2
144,40,144,37,0,2
144,41,144,31,0,2
144,42,144,54,0,2
144,43,144,38,0,2
144,44,144,40,0,2
144,44,144,46,0,2
144,44,144,51,0,2
144,45,144,50,0,2
144,46,144,49,0,2
144,48,144,47,0,2
144,49,144,43,0,2
144,50,144,19,0,2
144,51,144,47,0,2
144,52,144,36,0,2
144,53,144,47,0,2
144,54,144,39,0,2
144,56,144,57,0,2
144,57,144,8,0,2
145,0,145,1,0,2
145,1,145,2,0,2
145,2,145,3,0,2
145,3,145,4,0,2
145,3,145,19,0,2
145,3,145,10,0,2
145,3,145,6,0,2
145,3,145,16,0,2
145,4,145,7,0,2
145,5,145,9,0,2
145,6,145,8,0,2
145,7,145,12,0,2
145,8,145,13,0,2
145,9,145,26,0,2
145,10,145,11,0,2
145,11,145,12,0,2
145,12,145,3,0,2
145,13,145,5,0,2
145,13,145,23,0,2
145,13,145,14,0,2
145,13,145,15,0,2
145,14,145,21,0,2
145,15,145,22,0,2
145,16,145,17,0,2
145,17,145,18,0,2
145,18,145,3,0,2
145,19,145,20,0,2
145,20,145,12,0,2
145,23,145,24,0,2
145,24,145,25,0,2
145,25,145,26,0,2
145,26,145,13,0,2
146,0,146,1,0,2
146,1,146,2,0,2
146,2,146,3,0,2
146,3,146,4,0,2
146,3,146,5,0,2
146,3,146,6,0,2
146,4,146,7,0,2
146,5,146,8,0,2
146,7,146,9,0,2
146,8,146,9,0,2
146,9,146,11,0,2
146,9,146,12,0,2
146,9,146,10,0,2
146,9,146,13,0,2
146,9,146,38,0,2
146,9,146,39,0,2
146,9,146,40,0,2
146,10,146,16,0,2
146,11,146,17,0,2
146,12,146,17,0,2
146,13,146,14,0,2
146,14,146,15,0,2
146,15,146,9,0,2
146,16,146,25,0,2
146,17,146,25,0,2
146,18,146,19,0,2
146,18,146,20,0,2
146,18,146,21,0,2
146,18,146,26,0,2
146,18,146,27,0,2
146,18,146,34,0,2
146,19,146,22,0,2
146,20,146,23,0,2
146,21,146,24,0,2
146,22,146,29,0,2
146,23,146,30,0,2
146,24,146,37,0,2
146,25,146,18,0,2
146,26,146,32,0,2
146,27,146,28,0,2
146,28,146,31,0,2
146,29,146,18,0,2
146,30,146,29,0,2
146,31,146,18,0,2
146,32,146,33,0,2
146,33,146,18,0,2
146,34,146,35,0,2
146,35,146,36,0,2
146,38,146,41,0,2
146,39,146,41,0,2
146,40,146,41,0,2
146,41,146,15,0,2
147,0,147,1,0,2
147,1,147,8,0,2
147,2,147,4,0,2
147,3,147,11,0,2
147,3,147,10,0,2
147,4,147,3,0,2
147,6,147,14,0,2
147,6,147,13,0,2
147,6,147,63,0,2
147,6,147,2,0,2
147,7,147,28,0,2
147,8,147,12,0,2
147,8,147,19,0,2
147,8,147,25,0,2
147,9,147,48,0,2
147,10,147,27,0,2
147,11,147,7,0,2
147,12,147,15,0,2
147,13,147,18,0,2
147,14,147,16,0,2
147,15,147,19,0,2
147,15,147,25,0,2
147,16,147,17,0,2
147,17,147,21,0,2
147,17,147,22,0,2
147,18,147,28,0,2
147,19,147,20,0,2
147,20,147,26,0,2
147,21,147,59,0,2
147,22,147,23,0,2
147,23,147,24,0,2
147,24,147,60,0,2
147,25,147,62,0,2
147,26,147,6,0,2
147,27,147,5,0,2
147,28,147,29,0,2
147,29,147,64,0,2
147,30,147,34,0,2
147,30,147,33,0,2
147,30,147,31,0,2
147,30,147,32,0,2
147,31,147,37,0,2
147,32,147,27,0,2
147,33,147,35,0,2
147,34,147,36,0,2
147,35,147,31,0,2
147,35,147,32,0,2
147,36,147,31,0,2
147,36,147,32,0,2
147,37,147,38,0,2
147,37,147,39,0,2
147,38,147,40,0,2
147,39,147,41,0,2
147,40,147,42,0,2
147,40,147,43,0,2
147,40,147,44,0,2
147,40,147,45,0,2
147,41,147,9,0,2
147,42,147,52,0,2
147,43,147,50,0,2
147,44,147,49,0,2
147,45,147,46,0,2
147,46,147,47,0,2
147,47,147,41,0,2
147,49,147,47,0,2
147,50,147,51,0,2
147,51,147,41,0,2
147,52,147,53,0,2
147,52,147,54,0,2
147,53,147,55,0,2
147,54,147,57,0,2
147,55,147,56,0,2
147,56,147,58,0,2
147,57,147,56,0,2
147,58,147,41,0,2
147,59,147,61,0,2
147,60,147,6,0,2
147,61,147,60,0,2
147,62,147,5,0,2
147,63,147,18,0,2
147,64,147,30,0,2
148,0,148,1,0,2
148,1,148,2,0,2
148,2,148,3,0,2
148,2,148,4,0,2
148,2,148,5,0,2
148,3,148,6,0,2
148,4,148,9,0,2
148,5,148,12,0,2
148,6,148,7,0,2
148,7,148,8,0,2
148,8,148,4,0,2
148,8,148,5,0,2
148,9,148,10,0,2
148,10,148,11,0,2
148,11,148,14,0,2
148,12,148,13,0,2
148,13,148,11,0,2
148,14,148,15,0,2
148,14,148,51,0,2
148,14,148,16,0,2
148,14,148,35,0,2
148,14,148,17,0,2
148,14,148,31,0,2
148,15,148,18,0,2
148,16,148,28,0,2
148,17,148,29,0,2
148,18,148,19,0,2
148,18,148,21,0,2
148,18,148,22,0,2
148,18,148,23,0,2
148,18,148,38,0,2
148,19,148,20,0,2
148,20,148,24,0,2
148,21,148,20,0,2
148,22,148,20,0,2
148,23,148,20,0,2
148,24,148,25,0,2
148,25,148,26,0,2
148,26,148,27,0,2
148,27,148,44,0,2
148,28,148,37,0,2
148,29,148,30,0,2
148,30,148,37,0,2
148,31,148,32,0,2
148,32,148,34,0,2
148,32,148,33,0,2
148,33,148,40,0,2
148,34,148,47,0,2
148,35,148,36,0,2
148,36,148,37,0,2
148,37,148,14,0,2
148,38,148,39,0,2
148,39,148,19,0,2
148,39,148,21,0,2
148,39,148,22,0,2
148,39,148,23,0,2
148,40,148,43,0,2
148,41,148,45,0,2
148,41,148,42,0,2
148,44,148,14,0,2
148,45,148,46,0,2
148,46,148,42,0,2
148,47,148,48,0,2
148,47,148,49,0,2
148,48,148,41,0,2
148,49,148,50,0,2
148,50,148,45,0,2
148,50,148,42,0,2
148,51,148,52,0,2
148,52,148,54,0,2
148,53,148,14,0,2
148,54,148,53,0,2
149,0,149,1,0,2
149,1,149,12,0,2
149,2,149,3,0,2
149,3,149,4,0,2
149,3,149,5,0,2
149,3,149,6,0,2
149,4,149,7,0,2
149,5,149,8,0,2
149,6,149,7,0,2
149,8,149,10,0,2
149,8,149,9,0,2
149,9,149,11,0,2
149,10,149,7,0,2
149,12,149,2,0,2
150,0,150,1,0,2
150,1,150,21,0,2
150,2,150,20,0,2
150,3,150,27,0,2
150,4,150,27,0,2
150,5,150,27,0,2
150,6,150,41,0,2
150,6,150,7,0,2
150,6,150,8,0,2
150,6,150,9,0,2
150,6,150,10,0,2
150,6,150,43,0,2
150,7,150,11,0,2
150,8,150,12,0,2
150,9,150,13,0,2
150,10,150,14,0,2
150,11,150,15,0,2
150,12,150,15,0,2
150,13,150,54,0,2
150,14,150,54,0,2
150,15,150,16,0,2
150,15,150,17,0,2
150,16,150,18,0,2
150,17,150,19,0,2
150,18,150,55,0,2
150,19,150,55,0,2
150,20,150,6,0,2
150,21,150,22,0,2
150,21,150,23,0,2
150,22,150,4,0,2
150,23,150,24,0,2
150,24,150,25,0,2
150,24,150,26,0,2
150,25,150,3,0,2
150,26,150,44,0,2
150,27,150,51,0,2
150,28,150,29,0,2
150,28,150,30,0,2
150,28,150,31,0,2
150,29,150,32,0,2
150,30,150,32,0,2
150,31,150,37,0,2
150,32,150,33,0,2
150,32,150,34,0,2
150,33,150,35,0,2
150,34,150,2,0,2
150,35,150,36,0,2
150,36,150,6,0,2
150,37,150,38,0,2
150,37,150,39,0,2
150,38,150,40,0,2
150,41,150,42,0,2
150,42,150,7,0,2
150,42,150,8,0,2
150,42,150,9,0,2
150,43,150,15,0,2
150,44,150,45,0,2
150,44,150,46,0,2
150,45,150,5,0,2
150,46,150,47,0,2
150,47,150,48,0,2
150,48,150,49,0,2
150,48,150,31,0,2
150,49,150,50,0,2
150,50,150,37,0,2
150,51,150,52,0,2
150,51,150,53,0,2
150,52,150,49,0,2
150,52,150,31,0,2
150,53,150,56,0,4
150,54,150,15,0,2
150,56,150,57,0,2
150,56,150,58,0,2
150,57,150,59,0,2
150,57,150,31,0,2
150,58,150,28,0,4
150,59,150,60,0,2
150,60,150,15,0,2
151,0,151,1,0,2
151,1,151,2,0,2
151,2,151,13,0,2
151,2,151,3,0,2
151,2,151,12,0,2
151,3,151,14,0,2
151,4,151,3,0,2
151,4,151,12,0,2
151,5,151,6,0,2
151,5,151,7,0,2
151,5,151,8,0,2
151,6,151,9,0,2
151,7,151,11,0,2
151,8,151,10,0,2
151,9,151,7,0,2
151,9,151,8,0,2
151,13,151,4,0,2
151,14,151,5,0,2
152,0,152,1,0,2
153,0,153,1,0,2
153,1,153,2,0,2
153,2,153,3,0,2
153,3,153,21,0,2
153,3,153,4,0,2
153,3,153,6,0,2
153,3,153,5,0,2
153,3,153,8,0,2
153,4,153,7,0,2
153,5,153,42,0,2
153,6,153,9,0,2
153,7,153,20,0,2
153,8,153,15,0,2
153,9,153,20,0,2
153,10,153,11,0,2
153,10,153,12,0,2
153,10,153,24,0,2
153,11,153,13,0,2
153,12,153,13,0,2
153,13,153,14,0,2
153,14,153,25,0,2
153,15,153,50,0,2
153,16,153,17,0,2
153,16,153,18,0,2
153,17,153,10,0,2
153,18,153,19,0,2
153,19,153,11,0,2
153,19,153,12,0,2
153,19,153,24,0,2
153,20,153,3,0,2
153,21,153,22,0,2
153,22,153,23,0,2
153,23,153,3,0,2
153,24,153,13,0,2
153,25,153,26,0,2
153,26,153,36,0,2
153,27,153,28,0,2
153,27,153,29,0,2
153,27,153,30,0,2
153,28,153,31,0,2
153,29,153,34,0,2
153,30,153,40,0,2
153,31,153,32,0,2
153,32,153,33,0,2
153,33,153,27,0,2
153,34,153,35,0,2
153,35,153,33,0,2
153,36,153,37,0,2
153,36,153,38,0,2
153,37,153,39,0,2
153,38,153,27,0,2
153,39,153,27,0,2
153,40,153,41,0,2
153,42,153,43,0,2
153,42,153,44,0,2
153,43,153,16,0,2
153,44,153,45,0,2
153,45,153,46,0,2
153,45,153,47,0,2
153,46,153,49,0,2
153,47,153,48,0,2
153,48,153,11,0,2
153,48,153,12,0,2
153,48,153,24,0,2
153,49,153,11,0,2
153,49,153,12,0,2
153,49,153,24,0,2
154,0,154,1,0,2
154,1,154,13,0,2
154,2,154,38,0,2
154,3,154,50,0,2
154,4,154,59,0,2
154,5,154,6,0,2
154,6,154,7,0,2
154,7,154,8,0,2
154,7,154,9,0,2
154,8,154,10,0,2
154,9,154,48,0,2
154,10,154,48,0,2
154,11,154,54,0,2
154,12,154,61,0,2
154,13,154,44,0,2
154,13,154,45,0,2
154,14,154,2,0,2
154,14,154,5,0,2
154,14,154,3,0,2
154,15,154,16,0,2
154,15,154,17,0,2
154,16,154,27,0,2
154,17,154,21,0,2
154,18,154,19,0,2
154,18,154,20,0,2
154,19,154,30,0,2
154,20,154,31,0,2
154,21,154,22,0,2
154,21,154,23,0,2
154,22,154,28,0,2
154,23,154,24,0,2
154,24,154,25,0,2
154,24,154,26,0,2
154,25,154,29,0,2
154,26,154,18,0,2
154,27,154,47,0,2
154,28,154,47,0,2
154,29,154,47,0,2
154,30,154,47,0,2
154,31,154,47,0,2
154,32,154,33,0,2
154,32,154,34,0,2
154,33,154,41,0,2
154,34,154,35,0,2
154,35,154,36,0,2
154,35,154,37,0,2
154,36,154,42,0,2
154,37,154,43,0,2
154,38,154,39,0,2
154,38,154,40,0,2
154,39,154,4,0,2
154,40,154,32,0,2
154,41,154,59,0,2
154,42,154,59,0,2
154,43,154,59,0,2
154,44,154,15,0,2
154,45,154,46,0,2
154,46,154,44,0,2
154,47,154,49,0,2
154,48,154,14,0,2
154,49,154,14,0,2
154,50,154,51,0,2
154,50,154,52,0,2
154,51,154,11,0,2
154,52,154,53,0,2
154,53,154,54,0,2
154,54,154,55,0,2
154,55,154,67,0,2
154,56,154,60,0,2
154,57,154,56,0,2
154,57,154,58,0,2
154,57,154,68,0,2
154,58,154,63,0,2
154,59,154,57,0,2
154,60,154,57,0,2
154,61,154,62,0,2
154,63,154,64,0,2
154,63,154,65,0,2
154,64,154,12,0,2
154,65,154,66,0,2
154,66,154,61,0,2
154,68,154,69,0,2
154,69,154,50,0,2
155,0,155,1,0,2
155,1,155,2,0,2
155,2,155,3,0,2
155,2,155,4,0,2
155,3,155,5,0,2
155,4,155,10,0,2
155,5,155,6,0,2
155,6,155,8,0,2
155,6,155,12,0,2
155,6,155,11,0,2
155,7,155,9,0,2
155,8,155,7,0,2
155,9,155,12,0,2
155,9,155,11,0,2
155,10,155,66,0,2
155,11,155,10,0,2
155,12,155,13,0,2
155,13,155,14,0,2
155,14,155,19,0,2
155,14,155,15,0,2
155,14,155,16,0,2
155,14,155,17,0,2
155,15,155,61,0,2
155,16,155,58,0,2
155,17,155,18,0,2
155,18,155,10,0,2
155,19,155,20,0,2
155,20,155,15,0,2
155,20,155,16,0,2
155,20,155,17,0,2
155,21,155,23,0,2
155,22,155,23,0,2
155,23,155,24,0,2
155,23,155,28,0,2
155,23,155,25,0,2
155,23,155,26,0,2
155,24,155,27,0,2
155,25,155,27,0,2
155,26,155,27,0,2
155,27,155,31,0,2
155,27,155,29,0,2
155,27,155,37,0,2
155,28,155,27,0,2
155,29,155,30,0,2
155,30,155,34,0,2
155,31,155,32,0,2
155,32,155,34,0,2
155,33,155,39,0,2
155,34,155,35,0,2
155,34,155,36,0,2
155,35,155,33,0,2
155,36,155,39,0,2
155,37,155,38,0,2
155,38,155,34,0,2
155,39,155,40,0,2
155,39,155,42,0,2
155,39,155,41,0,2
155,40,155,43,0,2
155,41,155,51,0,2
155,42,155,48,0,2
155,43,155,54,0,2
155,44,155,45,0,2
155,45,155,46,0,2
