id,title,description
31,Investigate Doomed Commercial Area,People say the commercial building on the plaza is cursed; no business will ever thrive there without going bankrupt. You promised Plaisance you'll look into it. Enter the sealed door behind the bookstore and find out what happened to the companies there.
32,Find your paperwork,Officers of the RCM carry a ledger with paperwork -- find yours so you'd be able to take official notes. Look around the yard. Something makes you think it's there.
33,Who put the clothes in the trash?,"The victim's clothes were in the trash container out back, neatly folded. Who could have put them there, and why? Only the Whirling staff was supposed to have the key."
34,Style your paperwork,"You and your Conceptualization skill have decided to style that paperwork so it'd be cooler somehow. Be on the lookout, but know -- this will take *time*."
35,Read your ledger and name the case,"This case needs an official name. Go to your INVENTORY, and INTERACT with the Damaged Ledger to give it one. (Finding the right line may take some time.)"
36,Wash off the death smell,You reek of death. Wash it off. There's a bathtub in your room in the Whirling-in-Rags. A good place to visit once you can have some privacy.
37,Help Revachol Ice City cut losses,Help Revachol Ice City cut their losses by plugging out the giant ice bear fridge. It's located in the cellar of the Doomed Commercial Area.
38,End-of-day debrief with Kim,"Kim can answer any lingering questions you may have about the case and the RCM. Join him on the Whirling-in-Rags' balcony after 22:00, when you're calling it a day."
39,The Missing Insects Case,"Some locusts have gone missing, and the Insulindian phasmid has yet to be found. Perhaps you can use your detective skills to help out the cryptozoologists?"
40,Find the traffic hooligan,"A half-insane joyrider has jumped over the canal. See if you can find evidence of his reckless activity in west, on the coast."
41,Meet Lilienne at Land's End,"You have a date with Lilienne. Get to Land's End -- in the northern tip of the peninsula -- quickly, she's not going to wait for you forever."
42,Joyce's info on the lynching,"There is something she wants to tell you -- you just have to present her with your badge to hear it. *Or* perhaps if you did her a favour she could wave off the formality? Whatever the case, you need to know what she knows."
43,The victim's tattoos,"You have a photo of the hanged man's tattoos. Maybe someone can decipher them, tell you what they mean? You should probably talk to about two people about them for this."
44,Open apartment door for Evrart,"Evrart asked you to open the basement door behind the greenhouse in the backyard, to intimidate the occupant. Do what you have to do, Evrart has promised to give you info on the case in return."
45,Get two signatures for Evrart,"Get Isobel and Lilienne in the nameless fishing village down the coast to sign Evrart's document. Once the signatures are secured, mail the document to Evrart's accountant using the mail box on the plaza in front of the Whirling."
46,Get Joyce to tell you about discovery of Insulinde,"Joyce has said she will tell you about the discovery of the Insulindian isola, one day. You have a feeling you need to tell her things in return -- things you do for Evrart, maybe?"
47,Send victim's body to processing,"Once you're done with it, send the corpse to Processing (lieutenant Kitsuragi will take care of it). Check twice to see whether you're done with all corpse-related tasks -- after you've sent the body away, you can't take it back."
48,Find speed and sniff it,"The hangover is coming on *mega* strong now. You need more speed in your bloodstream. Find some, put it in your hand (equip it in the HELD slot in your INVENTORY), and off we go!"
49,Who made the call reporting the crime?,"Someone reported the hanging to the RCM. Maybe if you find out who it was, it may shed new light on the events. You have an idea where to start, but the caller could have been anyone."
50,Ask Klaasje about Sunday night,"When Kim's not around to stop you, ask Klaasje about what she heard from her room the night before you emerged into Reality. She must know something."
51,Explore the Whirling’s secret passages,"There are strange doors in the Whirling. No one knows where they lead. Find a way in and see what's hidden there, in the hostel cafeteria's forgotten corners."
52,Sing karaoke,"You need to find a sufficiently tragic tape, then play it on a boombox to memorize the lyrics. Then ask the cafeteria manager to perform. (Preferably in the evening. More people at the bar then.)"
53,Pick up dice from the Dicemaker,Dicemaker said that your order will be ready in 8 hours. Pick it up from the Doomed Commercial Area and be sure to have some money with you.
54,Interview the Sunday friend,"You finally met up with the mysterious smoker on the balcony. He said the one you really want to talk to is his friend. This friend is waiting for you inside, in apartment #28 -- go and and meet him right now (he won't be there later)."
55,What is anodic music?,"You should find out what is this *anodic dance* music people are listening to these days. Maybe if you were to stumble upon some young adults later on? This is a long term side-thing, don't fret it."
56,Doorgunner Megamix,Hardie gave you a recording where the hanged man supposedly testifies to his intent to rape and pillage. Have a listen on a playback device -- either in your room; or find one from a pawnshop.
57,Help ravers start a nightclub,"The ravers asked you to help turn the church into a dance club, but there are already some people inside. Find out who those people are and what they want."
58,Question Klaasje about the dead man,"Klaasje told you she can't talk about him now, but you need *specifics* -- height, build, etc, to confirm your autopsy. Ask a little later, when she has collected herself."
59,Sync the sines with Noid,"Noid doesn't want to talk to you, the sines are not in sync. Guess you need to help him and his friends out somehow, prove that you're one of the crew. Who knows what he'll tell you?"
60,Make Titus give up Ruby's location,"Ruby was the organizer of the hanging. She's also *missing*, but the Hardie boys will be tight-lipped about her location. You need to get them to open up. Have you *fully* explored the Whirling? Analysed the site of the murder? Truly and *thoroughly* interrogated Klaasje? All this might make convincing them easier."
61,The *special* borscht,What's so *special* about the borscht the strikers are eating? The cook in the *Whirling-in-Rags* is making it -- you can find him in the kitchen. Look into it.
62,Inspect Klaasje's buoy,"There's a buoy West of the boardwalk on the coast, somewhere in the reeds. It has Miss Oranje's fake documents in it..."
63,Solve the Egg Head puzzle,"There has to be some way to talk to this person, you just haven't found it yet. (It's definitely not about sines.) What if you just try again, find your way out of this maze of things to say?"
64,Confront Hardie boys about drug trade,"A person present at the lynching is also involved with the drug trade through the harbour, which links them to Hardie's boys. See what Titus has to say about it."
65,Get Acele to talk about her associates,Acele refused to talk about her friends. Maybe she'll open up later -- after you've helped them set up the nightclub.
66,Arrest Klaasje,There is a hidden way to arrest Klaasje and have Kim take her to Precinct 57 for safe keeping. She is not to be trusted.
67,Find solution to strike deadlock,"There is a secret way to solve the deadlock. It's not easy, includes a lot of back and forth between the two sides, but it's possible. Everything is always possible."
68,Are you La Puta Madre's peone?,"Ruby said you were a notoriously corrupt cop. La Puta Madre's peone. That's why she was scared of you. When you get the chance, call your station to find out more -- *if* you dare."
69,Light the graffito on fire with a burning cigarette,What it says on the can.
70,Ask Lilienne's twins about the island,Lilienne mentioned they might have been there on a raft -- the twins are on the concrete yard in the middle of the village.
71,Find fuel for the generator,"Find fuel, then put it in the generator upstairs (to power the console -- to open the door). There could be fuel on the island, tucked away somewhere -- explore, look around."
72,Hardie and the Pigs,"Ask Titus Hardie and his boys to take care of the Pigs -- the woman catatonic on the boardwalk. It's their district, their mess -- their responsibility."
73,Ask Evrart about Acele and the drug lab,Acele said Evrart is connected to the drug operation in the church. Maybe you can use this to manipulate him.
74,Extract a confession from the Deserter,You need at least three examples of proof to show that you have him anyway. There is little point in his resistance.
75,What is the Race Enigma?,"Put the Advanced Race Theory idea into a free *internalizing* slot in your head. (If there are no free slots, free one up). Then pass some time and when it's internalized, return to Measurehead. This is how thinking is done!"
76,Buy FALN pants from Cuno,"Those FALN track pants looked enticing, but you and Cuno were not *close* yet. You need to figure out what's going on with him and then you can get your hands on some performance gear."
77,Get the whole story from Titus,Hardie and the boys know the whole story. It'll be difficult to get it out of him. Have you thoroughly inspected the body? Looked around for a witness? Gotten friendly with the Union boss and the company rep? *Really* gotten to Klaasje?
78,Return Lena's pin,Lena gave you a commemorative pin to pawn when you were desperate for cash. The *honourable* thing to do would be to return it to her -- buy it back and return it to her once you have money.
79,Pay Lena back for pin,Lena gave you a commemorative pin to pawn when you were desperate for cash. You could pay her back once your financial situation isn't quite as pitiful. Finished when you give Lena what the pawnbroker paid you for the pin.
80,Get a reality lowdown,You have no idea where you are. Lena encouraged you to ask others to explain the world to you in greater detail -- perhaps try a rich person? Rich people are educated.
81,Find your heraldic bird,"The working class woman said that you're a bit of a cockatoo. What if it's true? Go read up on cockatoos in the bookstore, maybe you'll discover something new about yourself as well."
82,Take stuffed bird to Garte,"Garte was fixing a stuffed bird. You've found another stuffed bird, not the same bird but not broken either. Take it to him in the Whirling-in-Rags. Perhaps he can hang it up on the wall."
83,Report the dead body to the station,"Another dead body, this time on the Martinaise boardwalk on the coast. You don't have time to look into it. Someone at the lieutenant's station can handle it. Call and let them know what you found -- after you've examined the body for clues."
84,Dead body on the boardwalk,"Another dead body, this time on the Martinaise boardwalk on the coast. Search the man's remains and follow the leads to see if you can verify his identity."
85,Offer figurines to Dolores Dei,"Dolores Dei was fond of figurines. She deserves more. You should offer her any and all you have one day, if you meet her in person. What an odd task to give yourself -- but here we are."
86,Find the murder weapon,"You need to find the firearm that killed the hanged man. Something tells you it will take *some* time. You could start by identifying the bullet, so you'd know the weapon that shot it. After that, keep your eyes open. And be patient."
87,Rest in the flak tower,"Your damaged physique has earned its rest, no matter what thoughts and dreams it may bring."
88,Ask Kim about Seolite database,"According to Gary, Seolites are using advanced technology to spy on people all around the world. Maybe you should ask Kim if he can get you information about yourself from the Seolite database."
89,The doomed hostel?,"The question yet to be *totally* answered -- is Whirling-in-Rags a part of the Doomed Commercial Area? Talk to Garte about this, see what he thinks."
90,Inform Dicemaker about the Source of Doom,"Soona's research has led you to discover a 2 mm origin point of pale in the Dolorian Church of Humanity down the coast. This might be negatively affecting the entire neighbourhood, including the Doomed Commercial Area where Dicemaker works. Tell her about it."
91,Inform Plaisance about the Source of Doom,"Soona's research has led you to discover a 2 mm origin point of pale in the Dolorian Church of Humanity down the coast. This might be negatively affecting the entire neighbourhood, including the Doomed Commercial Area where Plaisance works. Tell her about it."
92,Open the blast door,The large blast door blocks your path forward. You have to get it open. Maybe from the console? If there's a button...
93,Find Idiot Doom Spiral's jacket,"Idiot Doom Spiral stole a cool jacket at one point... and then lost it again. The story of his life. According to the man, the jacket was last seen somewhere around the boardwalk, maybe at the abandoned fish market?"
94,Ask gardener about gardening in March,"The young woman with the wheelbarrow at the corner of the Whirling-in-Rags told you that she had to take a break from gardening because of the cadaver smell. But what if she was lying? After all, what kind of *gardening* is done in *March*?"
95,Find one armour piece,You really just want one piece of the armour... it's enough. Find and locate one piece and this one's done.
96,Find all armour pieces,"You want all of the armour pieces. Deck yourself out in full metal battle-hardened glory. NOTE! This might take a while. Like, a *long* while."
97,Investigate apartment #10 for the cleaning lady,"The cleaning lady said the apartment should be empty, but there's definitely someone inside. Could it be *counterculture people*? Investigate and report back to the cleaning lady in the apartment building's hallway."
98,The Return,Use the boat to return to mainland.
99,Fridge victim's body,"You need to buy yourself more time to find whatever you're missing in the corpse. A fridge would allow you to preserve the body longer. Ask the Whirling, Frittte, or maybe Cuno, or some other local kids?"
100,"Find Morell, the Cryptozoologist","The ageing cryptozoologist has been out in the reeds for too long, and his wife, Lena, is very worried. Maybe you can find him when you happen to be on the coast?"
101,Determine where the shot came from,Where could the shot that killed the hanged man have come from -- if not from the roof? This will take some checking out of locations.
102,Split a 'kilo' with Cuno,Enter flat #12 in the Capeside apartment building and get Cuno's speed. Sharing it with him will cement your friendship. And who knows what secrets it will lead to?
103,Help Soona with her project,"Soona will cooperate with the ravers' nightclub plan... if you help her out with the research project first. Find the filament memory with an off-site copy from her old workplace and bring it back to her, then wait for further instructions. If you run into any problems you can always ask for Soona's help."
104,Make van Eyck's jam harder core,"You can feel it -- this music could hit so much harder. It just needs a few tweaks... Walk back to the canal and see if you can find any tapes that could work as a melody, then bring them back to Egg Head for remixing."
105,Getting the Hanged Man's boots,"In order to succeed 1) the body has to be down, 2) autopsy has to be finished, 3) and Kim has to be absent (he wouldn't approve). This will be *devilishly* tricky, so don't beat yourself up if you manage to send the body to the processing without getting hold of the boots."
106,Inspect the phasmid,"Go to it, carefully... it may be dangerous."
107,The smoker on the balcony,You met a mysterious stranger smoking on the balcony of the apartment building north of Martinaise. He knows something about the murder. Find out where he lives and question him again.
108,Extract a motive,Why did he do this thing? Why???
109,Confront the Pigs and get your gun back,Someone's been running around with your sidearm pretending to be a police officer. You must meet her near the old fish market at 22:00 and get your service weapon back. Just walk past the fishing village until you see the boardwalk.
110,Track down your gun,"Someone must know something about your lost firearm. Maybe a district authority, like someone high up in the Union? Or someone local, who saw you with it before you passed out -- the Whirling's absent bartender? You could also ask the local pawnshop."
111,Interrogate the vigilantes,"You need to interrogate the men in the Union booth, find out what they know about the hanging in Martinaise."
112,Question Klaasje about the tape,"You refused the tape Hardie offered you, wherein the hanged man supposedly testified his intent to rape and pillage. Does Klaasje know anything about the recording? You should ask her -- unless you like loose ends."
113,Address Gaston's cheating in the pétanque game,Something looked off about the game the old men are playing on the plaza -- one of them (Gaston?) was cheating. Cheating in sports in unacceptable. Address this!
114,Get topping pie from Gary,"It's waiting for you -- wheat-free, vegan deliciousness. Gary said he can give it to you once he's in the Whirling."
115,Read the watermarks,Get in front of Kineema's headlights to read the halogen watermarks in your ledger. This may yield some information about who you are.
116,Ask Kim to tell you about the case,"Police officers get *briefed* about the cases they're given. Sometimes they *forget* the briefing, though, and need to be briefed again! Click on Kim and ask him about the case."
117,Ask 'Scab Leader' about tattoos,"Perhaps another mercenary can tell you more about the hanged man's tattoos, the so called 'Scab Leader' at the harbour gates. It won't count as one of the people informing you about the tattoos, but could be... interesting?"
118,Spirit is eternal,The Horrific Necktie is getting ready for the end game. For the love of god do not remove it till 'the magic' happens.
119,Inspect the window in Klaasje's bedroom,"Go to her room, search it once more. Upstairs, in the bedroom -- the window. Perhaps it will yield *something*?"
120,Discover a new species,Find the cryptid called the *Insulindian phasmid* in Martinaise -- confirm its existence.
121,Find pyrholidon and slurp it,"There is an extra special *fourth* substance in Martinaise, that no one talks about. Find it, slurp it. You may even start noticing bottles tucked away in Martinaise once you've seen one in your hand."
122,Ask the pétanque player about may bells,The old guy in the uniform playing pétanque on the plaza -- he looks like a war veteran. Maybe he can tell you something about the may bells. Show them to him.
123,"Talk to Garte, lieutenant Love",Garte + Sylvie = ?? Something's going on here. You need to help a brother out with his love-woes. Go to Garte and give him some solid advice. Tell him how it *is* with women.
124,Where is the rest of the armour?,The hanged man's armour seems to be missing. Find out what happened to it. The kid throwing rocks at the corpse seems to be a good place to start. (Ask him about the body first.)
125,Close the water lock on Wednesday,"To get to the coast you need to use the panel to close the water lock. It's been blocked, pending repairs, which should be done by Wednesday morning. (This will open up a new area in Martinaise.)"
126,Prove your authority to Titus Hardie,"You have to gain authority in Titus' eyes for the investigation to advance. Soften him up first. Maybe investigate the crime scene, or the body? Look for a witness? Get help from the Union boss, or the company rep? Tie them to any other crimes?"
127,Ask René about the photo,"The photo you found in the nightwatchman's booth -- the one with a happy couple. Ask René about it, he looked uncharacteristically happy in the picture."
128,Inspect the traps,"Check the traps for Morell the cryptozoologist, so he and his friend Gary can get some rest. There are four traps in total. After checking them all, return to Morell with the news."
129,Find the Insulindian Phasmid,"You've volunteered to restock the empty trap for the cryptozoologists. They even gave you fresh box of locusts. This could, after some messing around, *probably* lead to the discovery?"
130,Look for Ruby on the coast,"Ruby was in the cinderblock village but left Monday. She could be anywhere on the peninsula, north of the village. Look inside the church. Ask around, there are people to the west of the mural. Or, I don't know... ask a girl on a date? Then ask her? Ask the wind maybe?"
131,Find the armoured gloves,The gloves of the hanged man armour might still be around in the neighbourhood. Try to locate them.
132,The pissing competition,Apparently there was a pissing match between Precinct 41 (yours) and Precinct 57 (Kim's). Ask Kim about this after the initial inspection of the dead body is done.
133,Return to the dead body with Kim,There's a dead body on the Martinaise boardwalk down the coast. Return to it with the lieutenant and decide what to do with it.
134,Find the bullet before you get fooled,It is possible to determine the real cause of the hanged man's death -- before it's too late. You've just done it!
135,Do not talk to René and Gaston,"You'll get so much more police work done, if you don't waste time chatting with old men. Just leave these two to their game."
136,What happened to the previous forewoman?,"There are rumours that the previous forewoman of the Union just disappeared, right before the Claires took over. Her daughter called in on the election eve and said she wasn't running any more -- or coming to work. What happened?"
137,WHIRLING F2 / TEQUILA DOOR,The dialogue between you and the door to your room. It is locked unless you've paid for damages.
138,VILLAGE / SHACK DOOR,"The shack door dialogue, if you have gained access to the shack where you can sleep. It's locked until you get it from the Washerwoman."
139,WHIRLING F2 / KIM DOOR,The door to Kim's room on floor two of Whirling-in-Rags
140,THOUGHT / GOSSAMER STATE,Savoir Faire convinces you on the merits of being an Ultraliberal -- Gossamer State.
141,THOUGHT / WORLD REPUBLIC,Rhetoric talks about Communism --The World Republic.
142,THOUGHT / BORING COP,Drama informs you are a Boring Cop.
143,THOUGHT / SUPERSTAR COP,Composure confirms that you're a Superstar Cop.
144,THOUGHT / KINGDOM OF CONSCIENCE,Empathy informs you that you are a Moralist. Kingdom of Conscience awaits.
145,THOUGHT / APOCALYPSE COP,"Shivers is all about being an Apocalypse Cop.

Thou art the harbinger of doom, embrace thine destiny."
146,THOUGHT / SORRY COP,"Suggestion tells you all about being a Sorry Cop.

... I am SORRY!!! Sorry for everything! Sorry for being *me*!"
147,THOUGHT / HONOUR,Authority discusses how you are... The rarest of police officers
148,THOUGHT / REVACHOLIAN NATIONHOOD,Endurance explains you are a Fascist. It's all about the Revacholian Nationhood.
149,THOUGHT / THE DESTROYER,Pain Threshold turns you into THE DESTROYER! (a thought for punching and not taking damage). Anti-Object Task Force.
150,THOUGHT / FAIRWEATHER T-500,Visual Calculus wants you to research Enemy Technology. Get it after equipping any piece of the dead man's armour.
151,THOUGHT / COACH PHYSICAL INSTRUMENT,Physical Instrument is really adamant about yelling at you. something-something triggers the thought
152,delete folder,
153,INITIATION / SPEED HABIT,A thought for becoming a speed addict.
154,INITIATION / ALCOHOL HABIT,A thought for becoming an alcoholic.
155,INITIATION / PYRHOLIDON HABIT,A thought for becoming a wonderful pyrholidon addict.
156,INITIATION / SMOKING HABIT,Global afterthought dialogue to pick up smoking.
157,THOUGHT / ART COP,Conceptualization is really interested in your Art Cop ideas
158,delete,
159,THOUGHT / REMOTE VIEWER,Inland Empire -- Happens on a counter now.
160,THOUGHT / SUICIDE COP,"For when the thought is FIXED. Logic tries to get you to kill yourself if you have a gun and bullets, and tells you you're stupid if you don't."
161,THOUGHT / WHAT LIES BENEATH,Broke into Cuno's parents' room and communist apartment and Gary's apartment and church – counter. Global thought after 2.
162,delete,
163,delete,
164,THOUGHT / SOBRIETY DAY ONE,"Endurance -- about staying clean. Not an initiation dialogue, but UPON FIXING thought?"
165,THOUGHT / MAGNESIUM BASED LIFE FORM,"MAGNESIUM BASED LIFE FORM INITIATION

triggered in Cuno dialogue; as an Obsession!"
166,HQ / WASHBASIN,"A washbasin An interactable dialogue where you can shave your beard/muttonchops! This changes the portrait in the mirror dialogue, and the one on UI."
167,HQ / EXIT BULLET difficult,"The bullet you find in the shack, hinting that someone else has been staying here. Secretly."
168,HQ ORB / floorboard,The floorboards creak under your step.
169,HQ ORB / orc heater,"This intricate heat engine hums quietly, giving out pleasant warmth."
170,HQ ORB / new home shivers,"A shivers afterthought appears after you've clicked through the other orbs available inside the shack. It's a discussion of how it feels to have a new centre of operations, a free home"
171,HQ ORB / wallstuff,Old science fiction magazines. Books about birdwatching. An almanac from '39.
172,HQ ORB / heater ency thought,Using a thermodynamic expander-condenser cycle... nice.
173,HQ ORB / windowview,"You see the waves, the sea, a church..."
174,HQ ORB / bedwithkim,"Nice bed. You could sleep here -- later, once night has come."
175,CHURCH / MAINFRAME,Mainframe. Related to Doomed-Soona-questline related stuff.
176,CHURCH / TIAGO,Tiago the Crab Man.
177,CHURCH / SOONA,Soona the Palediver.
178,CHURCH / STAINED GLASS WINDOW VISCAL,Viscal concerning the stained glass window. You can put important things together.
179,CHURCH ORB / wires,Wires running across the floor...
180,CHURCH ORB / antenna,Someone's siphoning electrical current from outside -- into this antenna.
181,CHURCH ORB / waterbasins,The bowl is filled with water. A live wire runs directly into it.
182,CHURCH ORB / antenna afterthought,"The antenna, Ream ESKER AR-1, is buzzing with energy."
183,CHURCH ORB / shards of dei,"A cracked pane of glass, colourful."
184,CHURCH ORB / shards viscal,It came from the stained glass window. Still has letters on it too...
185,CHURCH ORB / waterbasin afterthought,Could these wires work as contact microphones?
186,CHURCH ORB / cone of silence,"EVERYTHING IS SILENT HERE VERY SPOOKY SCENE YES INDEED WHOLE SCENE ABOUT LOOKING UP AND THEN TIAGO APPEARS, BOOM!"
187,CHURCH ORB / inland rockwell,"Feels like there's someone above you, watching you from the dark."
188,CHURCH / WATERBASINS,"Waterbasin dialogue for solving the ""Move the waterbasins"" task."
189,CHURCH ORB / figurine,this pops up and tells you you should give dolores dei your figurine
190,CHURCH ORB / chalkboard,The blackboard is filled with complex equations. They look recent.
191,CHURCH ORB / chalkboard interfacing,Something to do with radios frequencies?
192,CHURCH ORB / easy inland,"A strange stillness fills you as you look ahead. You should *walk* here, not run."
193,CHURCH ORB / wooden figure,This grotesque wooden figure looks half-finished.
194,CHURCH ORB / figure inland,Feels like it's trying to become one with the church.
195,CHURCH ORB / figure concept,This figure was added later. It's not part of the original church.
196,CHURCH ORB / reel-to-reel tapes,Two decks of reel-to-reel tapes spinning on empty.
197,CHURCH ORB / more tapes,A portable Harmon Wowshi tape recorder.
198,CHURCH ORB / shivers,Cold wind blows in from the broken gallery... makes your skin crawl.
199,CHURCH ORB / window,"Frost has drawn flowers on the glass, obscuring the view."
200,CHURCH ORB / pews,A prayer book has been left open.
201,CHURCH ORB / pews concept,Excerpts from the Perikarnassian litany of love.
202,CHURCH ORB / chemistry lab,This looks like a tiny chemistry lab.
203,CHURCH ORB / drug lab realization,What's happening here?
204,CHURCH ORB / nosaphed,Those Nosaphed bottles...
205,CHURCH ORB / distilled water,Tanks of distilled water.
206,CHURCH ORB / knew about drug lab,"Cool, so this is where they've set up the drug lab."
207,CHURCH ORB / pews composure,A strange taste on your lips. Like blood -- or strawberries.
208,CHURCH ORB / more tapes logic,Is it possible it's... *recording* something?
209,CHURCH ORB / took cut of lab,"Aha, the drug lab! Can't wait for the profits to start rolling in..."
210,CHURCH ORB / forkedpattern,More of the forked lightning pattern you saw outside.
211,CHURCH ORB / frostwindow,"A figure drawn in frost on the window, depicting a deer."
212,CHURCH ORB / paneofglass,A cracked pane of glass.
213,CHURCH ORB / pattern idea,"Bark beetles? No, it looks intentional. Some long forgotten style."
214,CHURCH ORB / spiderweb,A spider has spun its web around this wood-carved pillar.
215,YARD / PILE OF ETERNITE,Someone has left some crumbly looking eternite panels leaning against this wall. Most suspicious.
216,YARD / CUNODOOR,it's the door to Cuno's shack (an empty interactable node to get it working programming-wise)
217,SHACK ORB / magnesolam,An empty tube of *Magnesolam* magnesium supplement.
218,SHACK ORB / magnesolam encyclo,A magnesium supplement you rub on your chest to live a happy magnesium-rich life.
219,SHACK ORB / silverplate,A silver plate with traces of bone yellow powder.
220,SHACK ORB / poster get out,The poster says: GET OUT OF THE WAY -- OR GET FUCKED UP!
221,SHACK ORB / pighead,Cured pig's head. It looks mummified.
222,SHACK ORB / poster get out inland,"That's actually a FALN slogan, from an aggressive youth oriented campaign."
223,SHACK ORB / locust city,It's crawling with locusts in here!
224,SHACK ORB / locust city logic,Cuno must have taken the locusts from the trap. Get task to confront him.
225,YARD ORB / dialogue door strange feeling,The sound of melting snow dripping off the roof... it's strange.
226,SHACK ORB / elchem with kim,Discussing the speed with Kim.
227,YARD / KIM SHACK barks,"IF we ever get Kim Barks working, whoop-dee-doy!"
228,WHIRLING F2 ORB / sea smell,The smell of the sea makes you dizzy.
229,WHIRLING F2 ORB / wind gush,A gust of briny wind washes over you.
230,WHIRLING F2 ORB / neon sign,The neon sign glistens in the morning light: WHIRLING-IN-RAGS.
231,WHIRLING F2 ORB / dialogue both shoes,"both shoes on, finishes task"
232,PLAZA / ANNETTE,Daughter of the book shop clerk is standing outside with a small book stand in order to make the shop more inviting. You chat her up.
233,PLAZA / WORKING CLASS DRUNK barks,Barks from a working class man with a drinking problem. Triggers an authority orb if you've met the working class woman.
234,PLAZA / WORKING CLASS WOMAN,[Aimée.] A dialogue with a woman who has a job. And a husband. And kids.
235,PLAZA ORB / get a drink,Start drinking (Electrochem).
236,PLAZA ORB / working class husband,AUTHORITY: It's a working class woman's drunk husband.
237,PLAZA / COIN-OPERATED VIEWER I,A coin-operated viewer on the plaza. It offers a view to the sunken sea-fort.
238,PLAZA / COIN-OPERATED VIEWER II,A coin-operated viewer on the plaza. It offers a view to the church.
239,PLAZA ORB / coin-operated viewer III,"This coin operated viewer has been banged up, inoperable."
